category,category.keyword,currency,customer_first_name,customer_first_name.keyword,customer_full_name,customer_full_name.keyword,customer_gender,customer_id,customer_last_name,customer_last_name.keyword,customer_phone,day_of_week,day_of_week_i,email,event.dataset,geoip.city_name,geoip.continent_name,geoip.country_iso_code,geoip.location,geoip.region_name,manufacturer,manufacturer.keyword,order_date,order_id,products._id,products._id.keyword,products.base_price,products.base_unit_price,products.category,products.category.keyword,products.created_on,products.discount_amount,products.discount_percentage,products.manufacturer,products.manufacturer.keyword,products.min_price,products.price,products.product_id,products.product_name,products.product_name.keyword,products.quantity,products.sku,products.tax_amount,products.taxful_price,products.taxless_price,products.unit_discount_amount,sku,taxful_total_price,taxless_total_price,total_quantity,total_unique_products,type,user
Women's Clothing,Women's Clothing,EUR,Pia,Pia,Pia Bradley,Pia Bradley,FEMALE,45,Bradley,Bradley,(empty),Tuesday,1,pia@bradley-family.zzz,sample_ecommerce,Cannes,Europe,FR,"{
  ""coordinates"": [
    7,
    43.6
  ],
  ""type"": ""Point""
}",Alpes-Maritimes,Oceanavigations,Oceanavigations,"Sep 27, 2021 @ 22:01:26.000",712866,sold_product_712866_16965,sold_product_712866_16965,$75.00 ,$75.00 ,Women's Clothing,Women's Clothing,"Dec 19, 2016 @ 21:01:26.000",15,20,Oceanavigations,Oceanavigations,$40.50 ,$60.00 ,"16,965",Maxi dress - black,Maxi dress - black,1,ZO0261902619,0,$60.00 ,$60.00 ,15,ZO0261902619,$60 ,$60.00 ,1,1,order,pia
"Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes",EUR,Sultan Al,Sultan Al,Sultan Al Caldwell,Sultan Al Caldwell,MALE,19,Caldwell,Caldwell,(empty),Tuesday,1,sultan al@caldwell-family.zzz,sample_ecommerce,Abu Dhabi,Asia,AE,"{
  ""coordinates"": [
    54.4,
    24.5
  ],
  ""type"": ""Point""
}",Abu Dhabi,"Oceanavigations, Angeldale","Oceanavigations, Angeldale","Sep 27, 2021 @ 22:00:00.000",576185,"sold_product_576185_20317, sold_product_576185_22711","sold_product_576185_20317, sold_product_576185_22711","$75.00, $85.00","$75.00, $85.00","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes","Dec 19, 2016 @ 21:00:00.000, Dec 19, 2016 @ 21:00:00.000","0, 0","0, 0","Oceanavigations, Angeldale","Oceanavigations, Angeldale","$39.75, $40.81","$75.00, $85.00","20,317, 22,711","Summer jacket - grey multicolor, Boots - black","Summer jacket - grey multicolor, Boots - black","1, 1","ZO0288902889, ZO0690706907","0, 0","$75.00, $85.00","$75.00, $85.00","0, 0","ZO0288902889, ZO0690706907",$160 ,$160.00 ,2,2,order,sultan
"Men's Shoes, Men's Accessories","Men's Shoes, Men's Accessories",EUR,Marwan,Marwan,Marwan Figueroa,Marwan Figueroa,MALE,51,Figueroa,Figueroa,(empty),Tuesday,1,marwan@figueroa-family.zzz,sample_ecommerce,Marrakesh,Africa,MA,"{
  ""coordinates"": [
    -8,
    31.6
  ],
  ""type"": ""Point""
}",Marrakech-Tensift-Al Haouz,Low Tide Media,Low Tide Media,"Sep 27, 2021 @ 21:44:10.000",576175,"sold_product_576175_14952, sold_product_576175_16819","sold_product_576175_14952, sold_product_576175_16819","$60.00, $42.00","$60.00, $42.00","Men's Shoes, Men's Accessories","Men's Shoes, Men's Accessories","Dec 19, 2016 @ 20:44:10.000, Dec 19, 2016 @ 20:44:10.000","0, 0","0, 0","Low Tide Media, Low Tide Media","Low Tide Media, Low Tide Media","$31.19, $19.73","$60.00, $42.00","14,952, 16,819","Smart lace-ups - Peru, Weekend bag - cognac","Smart lace-ups - Peru, Weekend bag - cognac","1, 1","ZO0392003920, ZO0472304723","0, 0","$60.00, $42.00","$60.00, $42.00","0, 0","ZO0392003920, ZO0472304723",$102 ,$102.00 ,2,2,order,marwan
"Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes",EUR,Kamal,Kamal,Kamal Cortez,Kamal Cortez,MALE,39,Cortez,Cortez,(empty),Tuesday,1,kamal@cortez-family.zzz,sample_ecommerce,Istanbul,Asia,TR,"{
  ""coordinates"": [
    29,
    41
  ],
  ""type"": ""Point""
}",Istanbul,Elitelligence,Elitelligence,"Sep 27, 2021 @ 21:41:17.000",576171,"sold_product_576171_21489, sold_product_576171_19297","sold_product_576171_21489, sold_product_576171_19297","$28.98, $24.98","$28.98, $24.98","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes","Dec 19, 2016 @ 20:41:17.000, Dec 19, 2016 @ 20:41:17.000","0, 0","0, 0","Elitelligence, Elitelligence","Elitelligence, Elitelligence","$13.63, $12.99","$28.98, $24.98","21,489, 19,297","Jeans Tapered Fit - blue denim, Trainers - white","Jeans Tapered Fit - blue denim, Trainers - white","1, 1","ZO0537905379, ZO0518405184","0, 0","$28.98, $24.98","$28.98, $24.98","0, 0","ZO0537905379, ZO0518405184",$53.97 ,$53.97 ,2,2,order,kamal
"Men's Shoes, Men's Accessories","Men's Shoes, Men's Accessories",EUR,Yahya,Yahya,Yahya Roberson,Yahya Roberson,MALE,23,Roberson,Roberson,(empty),Tuesday,1,yahya@roberson-family.zzz,sample_ecommerce,Marrakesh,Africa,MA,"{
  ""coordinates"": [
    -8,
    31.6
  ],
  ""type"": ""Point""
}",Marrakech-Tensift-Al Haouz,"Elitelligence, Low Tide Media","Elitelligence, Low Tide Media","Sep 27, 2021 @ 21:24:00.000",576155,"sold_product_576155_19719, sold_product_576155_17743","sold_product_576155_19719, sold_product_576155_17743","$42.00, $10.99","$42.00, $10.99","Men's Shoes, Men's Accessories","Men's Shoes, Men's Accessories","Dec 19, 2016 @ 20:24:00.000, Dec 19, 2016 @ 20:24:00.000","0, 0","0, 0","Elitelligence, Low Tide Media","Elitelligence, Low Tide Media","$19.31, $5.39","$42.00, $10.99","19,719, 17,743","Lace-up boots - black, Hat - black","Lace-up boots - black, Hat - black","1, 1","ZO0521305213, ZO0460604606","0, 0","$42.00, $10.99","$42.00, $10.99","0, 0","ZO0521305213, ZO0460604606",$52.97 ,$52.97 ,2,2,order,yahya
"Women's Clothing, Women's Accessories","Women's Clothing, Women's Accessories",EUR,Yasmine,Yasmine,Yasmine Perkins,Yasmine Perkins,FEMALE,43,Perkins,Perkins,(empty),Tuesday,1,yasmine@perkins-family.zzz,sample_ecommerce,-,Asia,SA,"{
  ""coordinates"": [
    45,
    25
  ],
  ""type"": ""Point""
}",-,"Pyramidustries active, Tigress Enterprises","Pyramidustries active, Tigress Enterprises","Sep 27, 2021 @ 21:13:55.000",576148,"sold_product_576148_16807, sold_product_576148_14686","sold_product_576148_16807, sold_product_576148_14686","$13.99, $28.98","$13.99, $28.98","Women's Clothing, Women's Accessories","Women's Clothing, Women's Accessories","Dec 19, 2016 @ 20:13:55.000, Dec 19, 2016 @ 20:13:55.000","0, 0","0, 0","Pyramidustries active, Tigress Enterprises","Pyramidustries active, Tigress Enterprises","$7.55, $14.49","$13.99, $28.98","16,807, 14,686","Sports shirt - sheer pink, Handbag - Blue Violety","Sports shirt - sheer pink, Handbag - Blue Violety","1, 1","ZO0221302213, ZO0093900939","0, 0","$13.99, $28.98","$13.99, $28.98","0, 0","ZO0221302213, ZO0093900939",$42.97 ,$42.97 ,2,2,order,yasmine
"Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes",EUR,Yasmine,Yasmine,Yasmine Jimenez,Yasmine Jimenez,FEMALE,43,Jimenez,Jimenez,(empty),Tuesday,1,yasmine@jimenez-family.zzz,sample_ecommerce,-,Asia,SA,"{
  ""coordinates"": [
    45,
    25
  ],
  ""type"": ""Point""
}",-,"Champion Arts, Pyramidustries active","Champion Arts, Pyramidustries active","Sep 27, 2021 @ 20:58:05.000",576129,"sold_product_576129_20296, sold_product_576129_10754","sold_product_576129_20296, sold_product_576129_10754","$17.98, $25.98","$17.98, $25.98","Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes","Dec 19, 2016 @ 19:58:05.000, Dec 19, 2016 @ 19:58:05.000","0, 0","0, 0","Champion Arts, Pyramidustries active","Champion Arts, Pyramidustries active","$8.46, $14.03","$17.98, $25.98","20,296, 10,754","Sweatshirt - dark blue multicolor, Sports shoes - darkblue","Sweatshirt - dark blue multicolor, Sports shoes - darkblue","1, 1","ZO0500105001, ZO0216002160","0, 0","$17.98, $25.98","$17.98, $25.98","0, 0","ZO0500105001, ZO0216002160",$43.97 ,$43.97 ,2,2,order,yasmine
Men's Shoes,Men's Shoes,EUR,Jackson,Jackson,Jackson Tran,Jackson Tran,MALE,13,Tran,Tran,(empty),Tuesday,1,jackson@tran-family.zzz,sample_ecommerce,Los Angeles,North America,US,"{
  ""coordinates"": [
    -118.2,
    34.1
  ],
  ""type"": ""Point""
}",California,"Oceanavigations, Low Tide Media","Oceanavigations, Low Tide Media","Sep 27, 2021 @ 20:56:38.000",576127,"sold_product_576127_24246, sold_product_576127_24934","sold_product_576127_24246, sold_product_576127_24934","$65.00, $50.00","$65.00, $50.00","Men's Shoes, Men's Shoes","Men's Shoes, Men's Shoes","Dec 19, 2016 @ 19:56:38.000, Dec 19, 2016 @ 19:56:38.000","0, 0","0, 0","Oceanavigations, Low Tide Media","Oceanavigations, Low Tide Media","$33.78, $22.50","$65.00, $50.00","24,246, 24,934","Lace-up boots - black, Lace-up boots - resin coffee","Lace-up boots - black, Lace-up boots - resin coffee","1, 1","ZO0253302533, ZO0403504035","0, 0","$65.00, $50.00","$65.00, $50.00","0, 0","ZO0253302533, ZO0403504035",$115 ,$115.00 ,2,2,order,jackson
Men's Accessories,Men's Accessories,EUR,Boris,Boris,Boris Gomez,Boris Gomez,MALE,36,Gomez,Gomez,(empty),Tuesday,1,boris@gomez-family.zzz,sample_ecommerce,-,Europe,GB,"{
  ""coordinates"": [
    -0.1,
    51.5
  ],
  ""type"": ""Point""
}",-,Oceanavigations,Oceanavigations,"Sep 27, 2021 @ 20:46:34.000",576113,"sold_product_576113_16135, sold_product_576113_16590","sold_product_576113_16135, sold_product_576113_16590","$16.98, $50.00","$16.98, $50.00","Men's Accessories, Men's Accessories","Men's Accessories, Men's Accessories","Dec 19, 2016 @ 19:46:34.000, Dec 19, 2016 @ 19:46:34.000","0, 0","0, 0","Oceanavigations, Oceanavigations","Oceanavigations, Oceanavigations","$8.66, $25.48","$16.98, $50.00","16,135, 16,590","Belt - dark brown, Scarf - grey multicolor","Belt - dark brown, Scarf - grey multicolor","1, 1","ZO0310303103, ZO0313603136","0, 0","$16.98, $50.00","$16.98, $50.00","0, 0","ZO0310303103, ZO0313603136",$67 ,$67.00 ,2,2,order,boris
"Men's Clothing, Women's Accessories","Men's Clothing, Women's Accessories",EUR,Tariq,Tariq,Tariq Chapman,Tariq Chapman,MALE,25,Chapman,Chapman,(empty),Tuesday,1,tariq@chapman-family.zzz,sample_ecommerce,Istanbul,Asia,TR,"{
  ""coordinates"": [
    29,
    41
  ],
  ""type"": ""Point""
}",Istanbul,"Low Tide Media, Angeldale, Oceanavigations, Elitelligence","Low Tide Media, Angeldale, Oceanavigations, Elitelligence","Sep 27, 2021 @ 20:46:34.000",713592,"sold_product_713592_13059, sold_product_713592_13692, sold_product_713592_6838, sold_product_713592_12505","sold_product_713592_13059, sold_product_713592_13692, sold_product_713592_6838, sold_product_713592_12505","$24.98, $13.99, $24.98, $24.98","$24.98, $13.99, $24.98, $24.98","Men's Clothing, Women's Accessories, Men's Clothing, Men's Clothing","Men's Clothing, Women's Accessories, Men's Clothing, Men's Clothing","Dec 19, 2016 @ 19:46:34.000, Dec 19, 2016 @ 19:46:34.000, Dec 19, 2016 @ 19:46:34.000, Dec 19, 2016 @ 19:46:34.000","0, 0, 0, 0","0, 0, 0, 0","Low Tide Media, Angeldale, Oceanavigations, Elitelligence","Low Tide Media, Angeldale, Oceanavigations, Elitelligence","$11.50, $6.44, $11.50, $12.25","$24.98, $13.99, $24.98, $24.98","13,059, 13,692, 6,838, 12,505","Formal shirt - white, Belt - cognac , Marsha - Slim fit jeans - bordeaux, Jumper - off white/khaki/camel","Formal shirt - white, Belt - cognac , Marsha - Slim fit jeans - bordeaux, Jumper - off white/khaki/camel","1, 1, 1, 1","ZO0414904149, ZO0702807028, ZO0284402844, ZO0575205752","0, 0, 0, 0","$24.98, $13.99, $24.98, $24.98","$24.98, $13.99, $24.98, $24.98","0, 0, 0, 0","ZO0414904149, ZO0702807028, ZO0284402844, ZO0575205752",$88.94 ,$88.94 ,4,4,order,tariq
